ID,mod01,mod02,mod03,mod04,c_mod,z_mod,Categ,mod01_01,mod01_02,mod01_03,mod01_04,mod01_05,c_mod1,z_mod1,mod02_01,mod02_02,mod02_03,mod02_04,mod02_05,mod02_06,mod02_07,c_mod2,z_mod2,mod03_01,mod03_02,mod03_03,mod03_04,mod03_05,mod03_06,mod03_07,c_mod3,z_mod3,mod04_01,mod04_02,mod04_03,mod04_04,mod04_05,mod04_06,c_mod4,z_mod4,Reg_hab_dens,Riv_net_disp_dist,Glac_lake_marine_dist,Time_since_glac,Surface_area,Max_depth,Secchi_depth,Prop_shield_litho,Clim_MWMT,Clim_MCMT,Clim_MSP,Clim_PAS
IDL42155,0,1,0,0,0.5,-0.784588268,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,162028.4698,50992.7144,10.5,48.4,10.1,4.2,1,17.61803279,-14.54590164,411.295082,292.852459
IDL42156,0,1,0,0,0.375,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.444444444,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165931,72607.03618,20243.69587,11,17.1,19.8,4,1,17.97704918,-13.43114754,399.9836066,276.295082
IDL42157,0,1,0,0,0.32,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.625,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,81756.36372,0,11.5,42.7,9.2,4.1,1,18.23606557,-12.68360656,382.6721311,253.1803279
IDL42158,0,1,0,0,0.46875,-0.117089487,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666667,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,365013.2367,62622.27128,10.5,1520.4,44.8,7.5,1,17.63278689,-15.01147541,401.7868852,275
IDL42159,0,1,0,0,0.666666667,-1.452087048,MOD02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,106296.9339,0,11.5,17,10.7,4.3,0,18.36885246,-12.71803279,377.2786885,241.1803279
IDL42161,0,1,0,0,0.277777778,1.217908074,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.72,1.464189369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,227274.9574,47194.81824,10.5,35.3,16,4.5,1,17.52295082,-14.72295082,410.4590164,289.5245902
IDL42162,0,1,0,0,0.489795918,0.550409294,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.625,1.464189369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,177092.1531,61282.66823,10.5,72.8,15,4,1,17.4852459,-14.93606557,412.4918033,295
IDL42163,0,1,0,0,0.5,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.444444444,0.856133804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,117922.7642,22855.30517,11,62.9,41.2,5.5,1,17.83934426,-13.56393443,400.0163934,279.7377049
IDL42164,0,0,1,0,0.65625,0.429518387,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0.091959,7952.089566,0,11.5,86,2.4,2.4,0,18.63278689,-11.76557377,367.3606557,232.442623
IDL42165,0,1,0,0,0.444444444,-1.452087048,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,184638.869,65317.85657,10.5,116,9.1,3.4,1,17.43934426,-14.88688525,417.3278689,301.3442623
